Samples,Pf,Std Dev,Beta
100,0.004402552937391089,0.006620551687755755,2.6195298793013206
300,0.009472221312572101,0.005592405068774899,2.346622402186787
1000,0.003782075079425997,0.00194107469910861,2.670929634461909
3000,0.0021017006951508962,0.000836118721502096,2.8624797354925127
10000,0.001737369403542188,0.0004164553939016547,2.9222845929556294
30000,0.0011499180323444101,0.00019566942538060627,3.04850431957306
