s Value,Failure Probability,Std Dev,Reliability Index
0.1,0.0,,inf
0.3,0.0,,inf
1.0,0.0,,inf
3.0,0.00366149779700213,0.0036571685932144525,2.681787518892909
10.0,1.5415357499822803e-10,2.409542318682076e-10,6.294542827329607
